"","X","Dataset","Fold","Repeat","Method","MethodType","AUC","Popt","ACC"
"226",226,"bugzilla","Fold-41","Rep-1","FIX.UP","R-unsup",0.467000835421888,0.0466678462934896,0.0451127819548872
"227",227,"bugzilla","Fold-41","Rep-1","NDEV.UP","R-unsup",0.525898078529657,0.573640092126118,0.270676691729323
"228",228,"bugzilla","Fold-41","Rep-1","AGE.UP","R-unsup",0.573805202661827,0.578155214284425,0.210526315789474
"229",229,"bugzilla","Fold-41","Rep-1","NUC.UP","R-unsup",0.399245239535621,0.30690981194496,0.0075187969924812
"230",230,"bugzilla","Fold-41","Rep-1","EXP.UP","R-unsup",0.545228012560136,0.529420965665237,0.203007518796992
"231",231,"bugzilla","Fold-41","Rep-1","REXP.UP","R-unsup",0.542174401521044,0.529351453887672,0.195488721804511
"232",232,"bugzilla","Fold-41","Rep-1","SEXP.UP","R-unsup",0.528317921239881,0.542741997151483,0.240601503759398
"233",233,"bugzilla","Fold-51","Rep-1","EALR","EALR",0.649718136868957,0.67748898439205,0.292035398230089
"235",235,"bugzilla","Fold-51","Rep-1","NaiveBayes","R-non-EA",0.731017541649608,0.53292831090012,0.194690265486726
"236",236,"bugzilla","Fold-51","Rep-1","NaiveBayes","R-ad",0.731017541649608,0.643914780077989,0.247787610619469
"237",237,"bugzilla","Fold-51","Rep-1","NaiveBayes","R-ee",0.731017541649608,0.747793271864749,0.460176991150442
"238",238,"bugzilla","Fold-51","Rep-1","NaiveBayes","R-dd",0.731017541649608,0.472135194170225,0.230088495575221
"239",239,"bugzilla","Fold-51","Rep-1","SimpleLogistic","R-non-EA",0.77879255503417,0.607197141078526,0.185840707964602
